"","subject","block","trial","card_left","card_right","ch_card","ch_key","reward","prob1","prob2","prob3","prob4","rt","reward_oneback","unch_card","reoffer_ch","reoffer_unch","stay_key","stay_card","stay_unch_card","prob_ch","prob_unch","accuracy","delta_exp_value","prob_left","prob_right","better_loc","prev_loc_better","bonus","number_inattention","instructions_mistakes","exclude_trial_omission","exclude_key_rep","exclude_inattention"
"20",1,"1","20",2,4,2,"0","1",0.248624145,0.463638119,0.304244594,0.412544239,879,"0",4,FALSE,TRUE,FALSE,FALSE,FALSE,0.463638119,0.412544239,1,0.05109388,0.463638119,0.412544239,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"21",1,"1","21",1,2,2,"1","1",0.243429274,0.572912292,0.231771321,0.404462135,510,"1",1,TRUE,FALSE,FALSE,TRUE,FALSE,0.572912292,0.243429274,1,0.329483018,0.243429274,0.572912292,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"22",1,"1","22",3,4,3,"0","0",0.222942467,0.521565163,0.189074154,0.394042659,592,"1",4,FALSE,FALSE,FALSE,FALSE,FALSE,0.189074154,0.394042659,0,0.204968505,0.189074154,0.394042659,1,1,0,0,0,FALSE,FALSE,FALSE
"23",1,"1","23",1,3,1,"0","0",0.25854102,0.483212291,0.232423255,0.427578923,1556,"0",3,TRUE,FALSE,TRUE,FALSE,FALSE,0.25854102,0.232423255,1,0.026117765,0.25854102,0.232423255,0,1,0,0,0,FALSE,FALSE,FALSE
"24",1,"1","24",3,4,3,"0","0",0.32771788,0.416664343,0.167898662,0.414173854,369,"0",4,FALSE,TRUE,TRUE,FALSE,TRUE,0.167898662,0.414173854,0,0.246275192,0.167898662,0.414173854,1,0,0,0,0,FALSE,FALSE,FALSE
"25",1,"1","25",1,4,4,"1","0",0.346910101,0.406414638,0.223806442,0.432006777,875,"0",1,FALSE,TRUE,FALSE,FALSE,TRUE,0.432006777,0.346910101,1,0.085096676,0.346910101,0.432006777,1,0,0,0,0,FALSE,FALSE,FALSE
"26",1,"1","26",1,2,2,"1","1",0.363247772,0.424988911,0.15,0.409534504,376,"0",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.424988911,0.363247772,1,0.061741139,0.363247772,0.424988911,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"27",1,"1","27",1,3,3,"1","1",0.412600622,0.423891952,0.160403157,0.383596933,765,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.160403157,0.412600622,0,0.252197465,0.412600622,0.160403157,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"28",1,"1","28",2,1,2,"0","1",0.394723848,0.477917326,0.15,0.366896641,619,"1",1,FALSE,TRUE,FALSE,FALSE,FALSE,0.477917326,0.394723848,1,0.083193478,0.477917326,0.394723848,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"29",1,"1","29",1,2,2,"1","0",0.379588708,0.499917072,0.15,0.455084108,726,"1",1,TRUE,TRUE,FALSE,TRUE,FALSE,0.499917072,0.379588708,1,0.120328364,0.379588708,0.499917072,1,0,0,0,0,FALSE,FALSE,FALSE
"30",1,"1","30",4,2,2,"1","1",0.39092306,0.527574737,0.199845574,0.475709276,383,"0",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.527574737,0.475709276,1,0.051865461,0.475709276,0.527574737,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"31",1,"1","31",3,2,3,"0","0",0.37934023,0.55610902,0.252707012,0.523782927,778,"1",2,TRUE,FALSE,FALSE,FALSE,FALSE,0.252707012,0.55610902,0,0.303402008,0.252707012,0.55610902,1,1,0,0,0,FALSE,FALSE,FALSE
"32",1,"1","32",2,3,2,"0","1",0.422537053,0.542712218,0.240813444,0.467327472,366,"0",3,TRUE,TRUE,TRUE,FALSE,TRUE,0.542712218,0.240813444,1,0.301898774,0.542712218,0.240813444,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"33",1,"1","33",4,2,4,"0","0",0.42854826,0.558499434,0.31536487,0.456414917,519,"1",2,TRUE,FALSE,TRUE,FALSE,FALSE,0.456414917,0.558499434,0,0.102084517,0.456414917,0.558499434,1,0,0,0,0,FALSE,FALSE,FALSE
"34",1,"1","34",1,4,4,"1","0",0.414645187,0.630558855,0.238292789,0.399816399,734,"0",1,TRUE,FALSE,FALSE,TRUE,FALSE,0.399816399,0.414645187,0,0.014828788,0.414645187,0.399816399,0,1,0,0,0,FALSE,FALSE,FALSE
"35",1,"1","35",1,3,3,"1","1",0.411459023,0.630067304,0.158989637,0.404586093,1012,"0",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.158989637,0.411459023,0,0.252469386,0.411459023,0.158989637,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"36",1,"1","36",1,4,4,"1","0",0.357681821,0.633714377,0.160086403,0.419517324,932,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.419517324,0.357681821,1,0.061835503,0.357681821,0.419517324,1,1,0,0,0,FALSE,FALSE,FALSE
"37",1,"1","37",2,3,2,"0","1",0.319182052,0.66237771,0.157452045,0.426407739,655,"0",3,FALSE,FALSE,FALSE,FALSE,FALSE,0.66237771,0.157452045,1,0.504925665,0.66237771,0.157452045,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"38",1,"1","38",2,4,2,"0","0",0.271389827,0.642321058,0.176706854,0.408329963,393,"1",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.642321058,0.408329963,1,0.233991095,0.642321058,0.408329963,0,1,0,0,0,FALSE,FALSE,FALSE
"39",1,"1","39",3,4,3,"0","0",0.331717046,0.598826994,0.163972711,0.442421569,1146,"0",4,FALSE,TRUE,TRUE,FALSE,FALSE,0.163972711,0.442421569,0,0.278448858,0.163972711,0.442421569,1,0,0,0,0,FALSE,FALSE,FALSE
"40",1,"1","40",3,2,2,"1","1",0.337330719,0.537534203,0.156086284,0.439231949,852,"0",3,TRUE,FALSE,FALSE,FALSE,FALSE,0.537534203,0.156086284,1,0.381447919,0.156086284,0.537534203,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"41",1,"1","41",1,4,4,"1","1",0.360532922,0.541353187,0.15,0.422045599,897,"1",1,FALSE,FALSE,TRUE,FALSE,FALSE,0.422045599,0.360532922,1,0.061512677,0.360532922,0.422045599,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"42",1,"1","42",1,2,2,"1","1",0.40079545,0.565797459,0.15,0.398831425,1210,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.565797459,0.40079545,1,0.165002009,0.40079545,0.565797459,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"43",1,"1","43",4,2,2,"1","1",0.4120548,0.625624932,0.15,0.445303813,357,"1",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.625624932,0.445303813,1,0.180321119,0.445303813,0.625624932,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"44",1,"1","44",1,3,1,"0","1",0.419174746,0.673666597,0.15,0.442015842,1731,"1",3,FALSE,FALSE,FALSE,FALSE,FALSE,0.419174746,0.15,1,0.269174746,0.419174746,0.15,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"45",1,"1","45",4,1,1,"1","1",0.49439884,0.709709244,0.15,0.391095483,505,"1",4,TRUE,FALSE,FALSE,TRUE,FALSE,0.49439884,0.391095483,1,0.103303357,0.391095483,0.49439884,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"46",1,"1","46",2,1,1,"1","0",0.445138221,0.732720996,0.15,0.39784058,667,"1",2,TRUE,FALSE,TRUE,TRUE,FALSE,0.445138221,0.732720996,0,0.287582775,0.732720996,0.445138221,0,0,0,0,0,FALSE,FALSE,FALSE
"47",1,"1","47",1,3,1,"0","0",0.462633019,0.63950116,0.163664995,0.324718947,1292,"0",3,TRUE,FALSE,FALSE,TRUE,FALSE,0.462633019,0.163664995,1,0.298968024,0.462633019,0.163664995,0,0,0,0,0,FALSE,FALSE,FALSE
"48",1,"1","48",1,4,4,"1","0",0.472754153,0.653624258,0.191478745,0.306483515,1072,"0",1,TRUE,FALSE,FALSE,FALSE,FALSE,0.306483515,0.472754153,0,0.166270638,0.472754153,0.306483515,0,1,0,0,0,FALSE,FALSE,FALSE
